loan_amnt,int_rate,purpose,grade,annual_inc,revol_util,emp_length,dti,delinq_2yrs,home_ownership,is_late
12000,0.0784,other,A,136000.0,0.16,10+ years,2.68,0,MORTGAGE,0
31650,0.0667,small_business,A,150000.0,0.259,7 years,13.47,0,RENT,0
2000,0.1356,vacation,C,75000.0,0.376,10+ years,17.94,0,MORTGAGE,0
12000,0.2727,debt_consolidation,E,45000.0,0.49200000000000005,,32.43,0,RENT,0
15000,0.16140000000000002,debt_consolidation,C,52000.0,0.895,7 years,23.68,0,MORTGAGE,0
21000,0.1273,debt_consolidation,B,55000.0,0.369,4 years,11.35,1,RENT,0
8000,0.08460000000000001,debt_consolidation,A,91000.0,0.5670000000000001,10+ years,11.1,1,MORTGAGE,0
10000,0.3017,debt_consolidation,F,48000.0,0.636,2 years,13.25,0,MORTGAGE,0
40000,0.0721,debt_consolidation,A,200000.0,0.409,10+ years,6.34,0,RENT,0
10000,0.08460000000000001,debt_consolidation,A,37500.0,0.33899999999999997,10+ years,13.82,0,OWN,0
20000,0.1502,debt_consolidation,C,32000.0,0.47,5 years,9.83,0,OWN,0
10800,0.1447,debt_consolidation,C,22000.0,0.47,2 years,16.53,0,RENT,0
6000,0.1691,home_improvement,C,55000.0,0.47100000000000003,5 years,12.44,1,RENT,0
15000,0.08460000000000001,credit_card,A,70000.0,0.54,10+ years,19.6,0,MORTGAGE,0
25000,0.0611,credit_card,A,60000.0,0.741,3 years,29.02,0,MORTGAGE,0
1000,0.1356,credit_card,C,65000.0,0.56,10+ years,4.49,2,RENT,0
7000,0.08460000000000001,debt_consolidation,A,30873.0,0.429,< 1 year,25.12,0,RENT,0
10000,0.1007,home_improvement,B,47839.0,0.213,,10.51,2,MORTGAGE,0
25000,0.19920000000000002,debt_consolidation,D,125000.0,0.7909999999999999,5 years,21.44,0,MORTGAGE,0
14400,0.2235,debt_consolidation,D,71000.0,0.6940000000000001,6 years,24.47,0,MORTGAGE,0
15000,0.1797,debt_consolidation,D,100000.0,0.7120000000000001,2 years,32.93,0,MORTGAGE,0
15000,0.1273,credit_card,B,100000.0,0.38,5 years,12.67,0,RENT,0
20000,0.23399999999999999,debt_consolidation,E,140000.0,0.9390000000000001,10+ years,11.86,0,MORTGAGE,0
7100,0.2437,debt_consolidation,E,96150.0,0.059000000000000004,4 years,23.32,0,MORTGAGE,0
12000,0.1106,debt_consolidation,B,58000.0,0.46399999999999997,10+ years,23.07,1,RENT,0
12000,0.1047,credit_card,B,42500.0,0.316,10+ years,35.7,0,OWN,0
11000,0.08460000000000001,other,A,40000.0,0.184,4 years,11.25,0,OWN,0
20000,0.19920000000000002,debt_consolidation,D,45000.0,0.073,10+ years,30.75,0,OWN,0
16000,0.1273,debt_consolidation,B,56000.0,0.12,4 years,36.18,0,MORTGAGE,0
36000,0.1008,debt_consolidation,B,75000.0,0.047,10+ years,11.14,0,MORTGAGE,0
5200,0.0784,credit_card,A,30000.0,0.662,3 years,22.16,0,RENT,0
11200,0.1691,major_purchase,C,17000.0,0.584,,9.46,0,OWN,0
8400,0.0667,debt_consolidation,A,85000.0,0.518,8 years,24.17,0,MORTGAGE,0
25000,0.0721,home_improvement,A,90000.0,0.293,10+ years,24.33,0,RENT,0
10000,0.1106,credit_card,B,108000.0,0.899,10+ years,24.4,0,OWN,0
3000,0.1106,other,B,38000.0,0.124,< 1 year,4.99,0,MORTGAGE,0
15500,0.08460000000000001,credit_card,A,51000.0,0.5920000000000001,10+ years,29.4,0,MORTGAGE,0
6000,0.1845,debt_consolidation,D,41925.0,0.701,2 years,17.06,0,RENT,0
20000,0.1894,credit_card,D,60000.0,0.81,3 years,23.38,0,MORTGAGE,0
10000,0.1356,debt_consolidation,C,79000.0,0.309,4 years,12.64,1,RENT,0
5000,0.2089,other,D,17000.0,0.258,,39.12,0,OWN,0
7000,0.19920000000000002,other,D,105000.0,0.17800000000000002,10+ years,30.64,4,MORTGAGE,0
5000,0.1047,debt_consolidation,B,28000.0,0.207,2 years,33.48,0,RENT,0
12000,0.0721,credit_card,A,300000.0,0.773,< 1 year,9.37,0,OWN,0
5000,0.1273,home_improvement,B,125000.0,0.375,1 year,3.53,0,MORTGAGE,0
8500,0.1047,debt_consolidation,B,122000.0,0.43,10+ years,13.6,0,MORTGAGE,0
6000,0.16140000000000002,home_improvement,C,40000.0,0.647,10+ years,38.37,1,MORTGAGE,0
6000,0.1273,debt_consolidation,B,32000.0,0.228,6 years,25.24,0,RENT,0
10000,0.0611,credit_card,A,36000.0,0.276,,6.4,0,MORTGAGE,0
12000,0.1273,medical,B,60000.0,0.53,,7.28,0,RENT,0
25000,0.1502,debt_consolidation,C,65000.0,0.16,6 years,22.29,2,OWN,0
19625,0.16140000000000002,debt_consolidation,C,136000.0,0.809,10+ years,14.15,2,MORTGAGE,0
10000,0.1008,debt_consolidation,B,100000.0,0.493,3 years,18.37,0,MORTGAGE,0
4500,0.0721,credit_card,A,50000.0,0.09,10+ years,22.8,0,MORTGAGE,0
12000,0.1356,credit_card,C,277000.0,0.47700000000000004,10+ years,15.53,0,MORTGAGE,0
20000,0.0611,debt_consolidation,A,90000.0,0.376,7 years,5.92,0,RENT,0
8400,0.1356,debt_consolidation,C,66000.0,0.0,10+ years,27.89,1,MORTGAGE,0
3000,0.1502,car,C,14544.0,0.086,,5.36,1,RENT,0
15000,0.0784,credit_card,A,29000.0,0.601,8 years,20.57,0,MORTGAGE,0
22000,0.0611,debt_consolidation,A,74000.0,0.355,1 year,11.6,1,RENT,0
16350,0.0784,credit_card,A,207000.0,0.409,< 1 year,13.32,0,MORTGAGE,0
28000,0.0784,debt_consolidation,A,92000.0,0.001,10+ years,4.83,0,OWN,0
10000,0.1008,major_purchase,B,104000.0,0.35,10+ years,16.96,0,MORTGAGE,0
2400,0.08460000000000001,credit_card,A,42000.0,0.17800000000000002,2 years,15.77,0,RENT,0
8000,0.0667,credit_card,A,35000.0,0.63,1 year,11.56,0,RENT,0
15000,0.0611,debt_consolidation,A,250000.0,0.768,10+ years,6.3,0,MORTGAGE,0
12000,0.1047,debt_consolidation,B,70000.0,0.315,< 1 year,23.49,0,MORTGAGE,0
11000,0.1894,debt_consolidation,D,31000.0,0.23199999999999998,1 year,23.73,0,RENT,0
10000,0.1502,debt_consolidation,C,40000.0,0.318,10+ years,4.14,0,RENT,0
18000,0.1273,credit_card,B,60000.0,0.092,3 years,26.56,0,RENT,0
5000,0.0667,debt_consolidation,A,45996.0,0.153,3 years,17.19,0,MORTGAGE,0
10000,0.1008,debt_consolidation,B,137000.0,0.314,10+ years,21.55,0,MORTGAGE,0
6000,0.1452,debt_consolidation,C,35000.0,0.491,6 years,15.02,0,RENT,0
10000,0.0784,credit_card,A,135000.0,0.669,9 years,11.95,0,MORTGAGE,0
10000,0.1273,credit_card,B,27600.0,0.36700000000000005,5 years,9.0,0,MORTGAGE,1
4200,0.19920000000000002,major_purchase,D,35000.0,0.504,10+ years,10.94,0,RENT,0
6000,0.08460000000000001,debt_consolidation,A,45000.0,0.27899999999999997,3 years,12.45,0,RENT,0
23000,0.1691,debt_consolidation,C,60000.0,0.273,8 years,11.72,2,MORTGAGE,0
27500,0.16140000000000002,debt_consolidation,C,120000.0,0.995,6 years,8.65,0,RENT,0
10500,0.0611,debt_consolidation,A,97000.0,0.313,8 years,11.06,0,MORTGAGE,0
16500,0.0721,debt_consolidation,A,160000.0,0.41200000000000003,< 1 year,8.73,0,RENT,0
7200,0.1155,debt_consolidation,B,89000.0,0.591,2 years,27.54,0,MORTGAGE,1
2000,0.23399999999999999,other,E,126000.0,0.9940000000000001,7 years,16.29,0,MORTGAGE,0
20000,0.1691,debt_consolidation,C,88000.0,0.6459999999999999,< 1 year,16.69,0,RENT,0
11500,0.1155,credit_card,B,40000.0,0.6459999999999999,3 years,21.66,0,RENT,0
8000,0.1273,credit_card,B,84996.0,0.385,6 years,26.94,0,OWN,0
18500,0.0611,debt_consolidation,A,60000.0,0.47600000000000003,9 years,23.12,0,MORTGAGE,0
10000,0.08460000000000001,credit_card,A,82000.0,0.79,6 years,8.75,0,MORTGAGE,0
24000,0.1047,debt_consolidation,B,97500.0,0.6679999999999999,1 year,11.79,0,RENT,0
12000,0.1447,home_improvement,C,180000.0,0.525,10+ years,9.82,1,MORTGAGE,0
15000,0.08460000000000001,debt_consolidation,A,30000.0,0.145,3 years,6.64,0,RENT,0
22000,0.1047,debt_consolidation,B,73000.0,0.268,10+ years,37.25,0,MORTGAGE,0
15000,0.0667,debt_consolidation,A,80000.0,0.226,10+ years,28.2,0,RENT,0
10500,0.1008,debt_consolidation,B,53248.0,0.20800000000000002,2 years,28.01,0,MORTGAGE,0
11000,0.2089,debt_consolidation,D,35000.0,0.54,1 year,37.62,0,RENT,0
16000,0.1691,debt_consolidation,C,120000.0,0.5660000000000001,3 years,14.55,1,MORTGAGE,0
6000,0.1356,credit_card,C,50000.0,0.13699999999999998,< 1 year,2.33,0,MORTGAGE,0
12000,0.2089,debt_consolidation,D,24500.0,0.281,8 years,22.64,2,MORTGAGE,0
20800,0.08460000000000001,debt_consolidation,A,70000.0,0.055,10+ years,21.16,0,RENT,0
3200,0.1447,debt_consolidation,C,45500.0,0.188,5 years,14.46,0,MORTGAGE,0
20000,0.2089,medical,D,43000.0,0.49200000000000005,,2.01,0,RENT,0
12500,0.1273,credit_card,B,40500.0,0.307,10+ years,13.3,0,MORTGAGE,1
30000,0.2534,credit_card,E,103675.0,0.9420000000000001,3 years,19.01,0,RENT,0
32000,0.16140000000000002,debt_consolidation,C,142600.0,0.922,10+ years,4.42,0,RENT,0
40000,0.0784,debt_consolidation,A,38000.0,0.08900000000000001,1 year,7.68,0,RENT,0
10000,0.0667,credit_card,A,108000.0,0.287,2 years,3.58,1,MORTGAGE,0
20000,0.0667,debt_consolidation,A,185000.0,0.34299999999999997,10+ years,12.07,0,MORTGAGE,0
10000,0.0611,credit_card,A,55000.0,0.8809999999999999,1 year,11.37,0,RENT,0
12000,0.1008,home_improvement,B,200000.0,0.434,10+ years,14.63,1,MORTGAGE,0
24000,0.1447,debt_consolidation,C,60000.0,0.152,< 1 year,2.68,0,OWN,0
10000,0.0721,credit_card,A,50000.0,0.20600000000000002,,4.22,0,RENT,0
10500,0.19920000000000002,debt_consolidation,D,75000.0,0.867,10+ years,19.36,1,MORTGAGE,0
35000,0.1447,credit_card,C,200000.0,0.499,2 years,10.78,0,MORTGAGE,0
18000,0.0611,credit_card,A,135000.0,0.185,10+ years,9.61,0,MORTGAGE,0
3500,0.0721,credit_card,A,80000.0,0.11699999999999999,< 1 year,10.14,0,RENT,0
6000,0.1008,credit_card,B,28020.0,0.532,9 years,29.64,0,RENT,0
9000,0.0667,credit_card,A,100000.0,0.177,10+ years,16.46,0,MORTGAGE,0
22000,0.19920000000000002,debt_consolidation,D,52000.0,0.674,8 years,16.94,0,RENT,0
3500,0.1106,moving,B,41000.0,0.48200000000000004,4 years,26.17,0,RENT,0
30000,0.1106,debt_consolidation,B,128000.0,0.39,10+ years,8.93,0,MORTGAGE,0
15000,0.1356,debt_consolidation,C,55000.0,0.361,10+ years,34.08,0,RENT,0
12000,0.2437,debt_consolidation,E,32500.0,0.436,< 1 year,14.29,0,RENT,0
6400,0.1047,credit_card,B,42000.0,0.6859999999999999,5 years,13.69,0,OWN,0
8000,0.0611,credit_card,A,69575.0,0.691,2 years,14.68,1,RENT,0
19500,0.1273,debt_consolidation,B,50000.0,0.308,7 years,21.41,0,RENT,0
5000,0.16140000000000002,other,C,90496.0,0.163,10+ years,4.3,1,MORTGAGE,0
12000,0.0721,credit_card,A,67000.0,0.375,10+ years,17.05,0,RENT,0
15000,0.1691,debt_consolidation,C,82000.0,0.406,10+ years,18.69,5,MORTGAGE,0
30000,0.0667,credit_card,A,83000.0,0.491,7 years,29.63,0,OWN,0
25000,0.2534,debt_consolidation,E,99531.0,0.508,4 years,12.44,0,MORTGAGE,0
1600,0.1047,debt_consolidation,B,20000.0,0.191,5 years,12.06,0,RENT,0
2100,0.0667,credit_card,A,30000.0,0.073,10+ years,16.92,0,OWN,0
35000,0.053099999999999994,credit_card,A,90000.0,0.259,6 years,22.67,0,OWN,0
10000,0.0611,credit_card,A,97000.0,0.268,5 years,6.98,0,RENT,0
10000,0.1047,credit_card,B,47000.0,0.255,10+ years,28.86,0,MORTGAGE,0
8000,0.1447,debt_consolidation,C,98000.0,0.573,5 years,4.94,0,MORTGAGE,0
30000,0.1691,credit_card,C,100000.0,0.8220000000000001,10+ years,17.74,0,MORTGAGE,0
22075,0.0784,home_improvement,A,119000.0,0.081,6 years,27.17,0,MORTGAGE,0
21000,0.1008,home_improvement,B,89000.0,0.163,10+ years,18.47,0,RENT,0
3000,0.08460000000000001,other,A,97000.0,0.18899999999999997,7 years,14.14,0,RENT,0
10000,0.1356,major_purchase,C,65000.0,0.054000000000000006,1 year,7.61,0,RENT,0
12000,0.1447,debt_consolidation,C,47000.0,0.326,3 years,29.21,0,MORTGAGE,0
16000,0.19920000000000002,credit_card,D,54000.0,0.41700000000000004,10+ years,22.91,0,RENT,0
17600,0.0667,debt_consolidation,A,140000.0,0.35200000000000004,10+ years,20.94,0,RENT,0
7000,0.1273,debt_consolidation,B,88000.0,0.496,10+ years,16.78,0,RENT,0
35000,0.08460000000000001,credit_card,A,117000.0,0.645,10+ years,17.43,0,RENT,0
25000,0.1691,debt_consolidation,C,50000.0,0.228,8 years,24.82,0,RENT,0
10000,0.1047,credit_card,B,53000.0,0.253,2 years,32.59,0,OWN,0
40000,0.0958,debt_consolidation,B,102000.0,0.966,10+ years,6.93,0,OWN,0
15000,0.0721,credit_card,A,90000.0,0.32,10+ years,19.28,1,RENT,0
30000,0.19920000000000002,debt_consolidation,D,70000.0,0.158,5 years,0.43,0,OWN,0
20000,0.1691,vacation,C,122078.0,0.002,2 years,5.44,0,RENT,0
35000,0.0721,credit_card,A,286000.0,0.58,10+ years,14.78,0,MORTGAGE,0
4000,0.1447,credit_card,C,25000.0,0.9790000000000001,1 year,8.16,0,RENT,0
20000,0.16140000000000002,debt_consolidation,C,140000.0,0.545,9 years,8.41,0,MORTGAGE,0
13000,0.1894,debt_consolidation,D,48000.0,0.823,< 1 year,12.1,0,RENT,0
6000,0.1894,credit_card,D,66000.0,0.371,10+ years,23.98,0,OWN,0
8000,0.0611,other,A,30000.0,0.016,,25.28,0,MORTGAGE,0
5000,0.1894,other,D,64000.0,0.89,2 years,17.85,2,RENT,0
25000,0.16140000000000002,debt_consolidation,C,125000.0,0.782,2 years,9.44,0,RENT,0
3500,0.0611,credit_card,A,39000.0,0.188,4 years,15.32,0,MORTGAGE,0
1000,0.1356,major_purchase,C,32000.0,0.439,6 years,20.93,1,MORTGAGE,0
25000,0.2534,debt_consolidation,E,66000.0,0.75,10+ years,23.4,1,MORTGAGE,0
11200,0.08460000000000001,credit_card,A,114000.0,0.716,4 years,10.0,0,RENT,0
39000,0.0721,debt_consolidation,A,88000.0,0.249,10+ years,24.63,0,MORTGAGE,0
8400,0.1356,debt_consolidation,C,60000.0,0.282,5 years,14.74,0,RENT,0
30000,0.1797,debt_consolidation,D,70000.0,0.604,10+ years,19.39,0,MORTGAGE,0
4800,0.1356,medical,C,58000.0,0.042,10+ years,19.58,0,RENT,0
10000,0.1502,credit_card,C,45000.0,0.168,5 years,17.09,0,MORTGAGE,0
24000,0.0611,credit_card,A,105000.0,0.271,3 years,8.64,0,MORTGAGE,0
35000,0.1155,home_improvement,B,95000.0,0.628,4 years,20.84,0,RENT,0
5000,0.0667,debt_consolidation,A,27500.0,0.109,< 1 year,4.15,0,RENT,0
15000,0.1273,debt_consolidation,B,63000.0,0.29,2 years,31.69,0,MORTGAGE,0
24000,0.19920000000000002,debt_consolidation,D,75000.0,0.574,1 year,22.42,0,MORTGAGE,0
18000,0.08460000000000001,debt_consolidation,A,76000.0,0.591,3 years,21.7,0,MORTGAGE,0
5000,0.08460000000000001,debt_consolidation,A,47000.0,0.086,10+ years,19.77,0,MORTGAGE,0
12000,0.0611,credit_card,A,100000.0,0.674,10+ years,8.12,0,MORTGAGE,0
10000,0.1447,credit_card,C,85000.0,0.285,3 years,31.1,0,RENT,0
35000,0.0784,debt_consolidation,A,60000.0,0.527,< 1 year,25.66,0,MORTGAGE,0
18725,0.1047,credit_card,B,260000.0,0.86,10+ years,21.09,0,MORTGAGE,0
40000,0.1008,debt_consolidation,B,180000.0,0.5589999999999999,8 years,3.99,0,RENT,0
6000,0.0721,debt_consolidation,A,58000.0,0.071,10+ years,13.39,1,MORTGAGE,0
10200,0.1502,debt_consolidation,C,70000.0,0.35,10+ years,16.48,0,MORTGAGE,0
10000,0.0611,credit_card,A,80000.0,0.087,6 years,18.95,0,OWN,0
40000,0.0667,debt_consolidation,A,300000.0,0.0,1 year,9.56,0,RENT,0
10000,0.16140000000000002,debt_consolidation,C,43000.0,0.465,10+ years,23.19,0,RENT,0
8000,0.1356,debt_consolidation,C,52000.0,0.348,10+ years,29.66,1,MORTGAGE,0
8000,0.1894,major_purchase,D,40000.0,0.004,4 years,17.76,0,RENT,0
30000,0.0667,credit_card,A,140000.0,0.873,10+ years,17.66,2,MORTGAGE,0
11000,0.1106,debt_consolidation,B,75000.0,0.618,10+ years,5.98,0,MORTGAGE,0
4000,0.1356,debt_consolidation,C,35000.0,0.7979999999999999,10+ years,25.69,0,RENT,0
10000,0.19920000000000002,debt_consolidation,D,85000.0,0.5,10+ years,3.22,0,MORTGAGE,0
7000,0.0784,debt_consolidation,A,80000.0,0.25,3 years,9.54,0,MORTGAGE,0
10000,0.1894,small_business,D,96000.0,0.257,< 1 year,1.41,0,OWN,0
30000,0.1502,debt_consolidation,C,61950.0,,10+ years,15.92,1,MORTGAGE,0
3600,0.16140000000000002,debt_consolidation,C,30000.0,0.38299999999999995,1 year,28.0,0,OWN,0
12000,0.1691,debt_consolidation,C,70000.0,0.518,1 year,16.03,0,MORTGAGE,0
10000,0.16140000000000002,credit_card,C,51000.0,0.284,5 years,34.14,1,OWN,0
20000,0.0667,debt_consolidation,A,72000.0,0.41600000000000004,2 years,26.98,0,MORTGAGE,0
15000,0.1894,debt_consolidation,D,45000.0,0.429,1 year,22.8,0,OWN,0
1500,0.1273,debt_consolidation,B,48000.0,0.23199999999999998,10+ years,13.28,0,MORTGAGE,0
35000,0.08460000000000001,debt_consolidation,A,151000.0,0.43200000000000005,3 years,14.86,0,MORTGAGE,0
20000,0.1447,debt_consolidation,C,63000.0,0.28300000000000003,7 years,13.26,0,RENT,0
8000,0.2089,debt_consolidation,D,72500.0,0.691,10+ years,19.78,2,RENT,0
5000,0.1502,debt_consolidation,C,45000.0,0.405,4 years,6.59,2,MORTGAGE,0
15000,0.1155,debt_consolidation,B,93000.0,0.41,10+ years,12.74,0,RENT,0
2500,0.1155,debt_consolidation,B,43651.2,0.163,10+ years,18.06,0,RENT,0
20000,0.1047,debt_consolidation,B,80000.0,0.335,< 1 year,9.03,0,RENT,0
12000,0.1155,debt_consolidation,B,62000.0,0.485,6 years,37.3,0,RENT,0
13425,0.1356,debt_consolidation,C,40000.0,,,21.99,0,MORTGAGE,0
35000,0.1894,other,D,174000.0,0.7,10+ years,23.03,0,RENT,0
23000,0.0746,debt_consolidation,A,78000.0,0.006999999999999999,4 years,4.43,0,RENT,0
14000,0.1047,debt_consolidation,B,65000.0,0.05,< 1 year,15.27,0,MORTGAGE,0
15000,0.1047,debt_consolidation,B,52000.0,0.235,,30.23,0,RENT,0
30000,0.1155,debt_consolidation,B,121850.0,0.34299999999999997,8 years,18.73,0,MORTGAGE,0
30000,0.2235,other,D,75000.0,0.912,10+ years,7.47,0,RENT,0
35000,0.1691,debt_consolidation,C,94000.0,0.18899999999999997,10+ years,23.25,1,RENT,0
12000,0.1356,debt_consolidation,C,60000.0,0.307,10+ years,9.2,0,RENT,0
30000,0.1691,debt_consolidation,C,80000.0,0.581,10+ years,31.86,0,RENT,0
39900,0.08460000000000001,debt_consolidation,A,65000.0,0.5429999999999999,3 years,3.73,0,MORTGAGE,0
1500,0.1502,debt_consolidation,C,67000.0,0.209,,31.49,1,MORTGAGE,0
35000,0.16140000000000002,home_improvement,C,234000.0,0.867,5 years,9.41,0,MORTGAGE,0
20500,0.1047,debt_consolidation,B,100000.0,0.147,10+ years,3.13,0,MORTGAGE,0
10000,0.08460000000000001,other,A,75000.0,0.522,6 years,20.43,0,MORTGAGE,0
9000,0.2631,debt_consolidation,E,64000.0,0.89,1 year,16.73,0,RENT,0
10000,0.1106,credit_card,B,65000.0,0.47600000000000003,3 years,11.95,0,RENT,0
24000,0.08460000000000001,debt_consolidation,A,89000.0,0.252,4 years,5.73,0,RENT,0
15000,0.1106,debt_consolidation,B,35360.0,0.514,< 1 year,31.09,0,MORTGAGE,0
27000,0.1213,other,B,467000.0,0.39299999999999996,10+ years,12.12,1,RENT,0
14000,0.0667,debt_consolidation,A,124000.0,0.13699999999999998,10+ years,16.44,0,OWN,0
15000,0.08460000000000001,medical,A,80000.0,0.051,4 years,1.64,0,MORTGAGE,0
10000,0.2235,other,D,58000.0,0.523,7 years,33.71,0,RENT,0
6500,0.1273,debt_consolidation,B,59000.0,0.7290000000000001,6 years,20.21,0,MORTGAGE,0
4000,0.1691,credit_card,C,35940.0,0.152,5 years,2.14,1,RENT,0
35000,0.1106,debt_consolidation,B,115000.0,0.429,10+ years,12.79,0,MORTGAGE,0
14400,0.1273,debt_consolidation,B,45000.0,0.27,1 year,30.29,0,RENT,0
10000,0.0611,debt_consolidation,A,75000.0,0.8059999999999999,1 year,11.47,0,RENT,0
12000,0.1691,credit_card,C,60000.0,0.515,< 1 year,4.8,0,RENT,0
7000,0.0721,debt_consolidation,A,36000.0,0.08199999999999999,,2.14,1,OWN,0
12000,0.0784,home_improvement,A,79000.0,0.213,3 years,15.33,2,MORTGAGE,0
25000,0.08460000000000001,debt_consolidation,A,99000.0,0.562,10+ years,27.07,0,MORTGAGE,0
3200,0.1797,debt_consolidation,D,72000.0,0.272,10+ years,23.47,1,OWN,0
6000,0.1691,credit_card,C,75000.0,0.525,10+ years,22.98,0,RENT,0
36000,0.0784,credit_card,A,84099.0,0.623,10+ years,28.2,0,MORTGAGE,0
10000,0.1447,debt_consolidation,C,45600.0,0.051,4 years,22.5,0,RENT,0
32000,0.0611,home_improvement,A,150000.0,0.054000000000000006,10+ years,0.6,0,MORTGAGE,0
5650,0.1502,debt_consolidation,C,58000.0,0.11599999999999999,10+ years,31.36,1,MORTGAGE,0
1500,0.1273,other,B,55000.0,0.183,5 years,14.77,0,RENT,0
20000,0.1106,debt_consolidation,B,46000.0,0.508,4 years,22.18,0,RENT,0
35000,0.0667,credit_card,A,44000.0,0.535,8 years,10.69,0,RENT,0
3500,0.0667,vacation,A,47000.0,0.154,3 years,11.34,0,OWN,0
11000,0.0611,debt_consolidation,A,36000.0,0.159,10+ years,9.73,0,MORTGAGE,0
8000,0.1894,debt_consolidation,D,85000.0,0.586,< 1 year,35.18,0,MORTGAGE,0
15000,0.16140000000000002,debt_consolidation,C,50000.0,0.805,8 years,12.94,0,OWN,0
25000,0.08460000000000001,credit_card,A,140129.0,0.531,10+ years,26.94,0,RENT,0
16000,0.1047,debt_consolidation,B,70000.0,0.326,10+ years,21.33,0,RENT,0
17000,0.0611,debt_consolidation,A,75000.0,0.395,2 years,8.7,0,RENT,0
20000,0.08460000000000001,other,A,75000.0,0.177,3 years,14.54,1,RENT,0
20000,0.19920000000000002,debt_consolidation,D,60000.0,0.508,< 1 year,28.6,0,RENT,0
14000,0.1155,debt_consolidation,B,71000.0,0.489,10+ years,17.83,0,MORTGAGE,0
20000,0.1894,debt_consolidation,D,68000.0,0.385,3 years,24.71,1,RENT,0
24000,0.0784,debt_consolidation,A,96000.0,0.455,7 years,22.79,0,MORTGAGE,0
6000,0.1845,debt_consolidation,D,19500.0,0.261,,30.34,0,OWN,0
35000,0.1502,debt_consolidation,C,73200.0,0.49,10+ years,15.66,0,MORTGAGE,0
3000,0.1691,home_improvement,C,60000.0,0.48,3 years,16.12,0,MORTGAGE,0
30000,0.1691,debt_consolidation,C,99000.0,0.731,2 years,9.88,0,RENT,0
12000,0.0784,credit_card,A,42700.0,0.05,10+ years,17.75,0,MORTGAGE,0
10000,0.1007,credit_card,B,36000.0,0.387,5 years,17.57,0,RENT,1
11000,0.0784,small_business,A,47000.0,0.114,1 year,8.61,0,RENT,0
33475,0.0784,major_purchase,A,115000.0,0.019,6 years,25.46,0,RENT,0
12000,0.2534,debt_consolidation,E,45000.0,0.636,7 years,29.43,0,MORTGAGE,0
9000,0.2089,credit_card,D,70000.0,0.6890000000000001,1 year,3.14,0,RENT,0
5000,0.1155,debt_consolidation,B,32000.0,0.368,6 years,21.53,0,RENT,0
5000,0.0667,major_purchase,A,90000.0,0.0,5 years,8.11,0,MORTGAGE,0
15000,0.2089,debt_consolidation,D,42000.0,0.139,7 years,33.27,0,RENT,0
1500,0.1797,other,D,72100.0,0.588,1 year,18.68,0,RENT,0
25500,0.0721,debt_consolidation,A,55000.0,0.669,10+ years,20.31,0,RENT,0
36000,0.1356,debt_consolidation,C,80000.0,0.196,,16.43,1,RENT,0
20000,0.1155,home_improvement,B,94000.0,0.568,10+ years,29.81,0,MORTGAGE,0
20000,0.1356,debt_consolidation,C,80000.0,0.6,5 years,10.77,0,MORTGAGE,0
30000,0.1106,credit_card,B,130000.0,0.327,10+ years,15.85,0,MORTGAGE,0
29000,0.1273,credit_card,B,62000.0,0.503,3 years,18.43,0,MORTGAGE,0
